,precision,recall,f1-score,support
bio,0.8308631211857018,0.7941666666666667,0.8121005538985939,1200.0
cs,0.740407204385278,0.779472382522671,0.7594377510040161,2426.0
econ,0.8329938900203666,0.8229376257545271,0.8279352226720648,994.0
engineering,0.7243125904486252,0.7160228898426323,0.7201438848920864,1398.0
math,0.8445692883895131,0.8948412698412699,0.8689788053949904,2016.0
other,0.8355795148247979,0.7604251839738349,0.7962328767123288,1223.0
physics,0.7634543178973717,0.7639323731997495,0.7636932707355243,1597.0
stat,0.7310774710596616,0.6951735817104149,0.7126736111111112,1181.0
accuracy,0.7842127129206481,0.7842127129206481,0.7842127129206481,0.7842127129206481
macro avg,0.7879071747764145,0.7783714966889708,0.7826494970525895,12035.0
weighted avg,0.7844663915593267,0.7842127129206481,0.7838458810977614,12035.0
